plate_text,first_seen,vehicle_type,vehicle_id,confidence
GX10GJ,2025-06-08 14:52:29,car,6,0.8879269073291363
CX150G,2025-06-08 14:52:36,car,6,0.6142260979956444
QP05J,2025-06-08 14:53:45,car,1,0.7629721836077508
K52,2025-06-08 14:54:12,car,8,0.6577193203607294
LEETT,2025-06-08 14:56:07,car,48,0.772394121566748
I,2025-06-08 14:57:34,car,58,0.7830267115441985
8C65W5J,2025-06-08 14:57:59,bus,40,0.6980722649651558
DXY,2025-06-08 14:58:23,car,55,0.7004184534176384
OE2,2025-06-08 14:59:52,car,63,0.6617121188029373
J06EPD,2025-06-08 15:01:04,car,83,0.836914445433153
LN52,2025-06-08 15:01:32,car,115,0.7717283368110657
L522C,2025-06-08 15:01:37,car,115,0.7193131483492596
M,2025-06-08 15:02:11,car,96,0.7746241742727563
EJ5,2025-06-08 15:03:42,truck,127,0.9208806640484932
EY095,2025-06-08 15:03:44,truck,127,0.6970515468748352
NL640CX,2025-06-08 15:08:17,car,213,0.7530097912528938
TM,2025-06-08 15:11:03,car,249,0.6372739227910785
QL5C56DP,2025-06-08 15:13:00,car,254,0.8855045533582524
